station_id,station_name,chain,address,city,country,fuel_type,price_eur_l
ST10404,Lukoil Bern,Lukoil,190 Sunset Ln,Bern,Switzerland,Gasoline 95,1.904
ST04797,Aral Nijmegen,Aral,68 River Way,Nijmegen,Netherlands,Diesel,1.788
ST07888,Lukoil Venice,Lukoil,105 Fairview Pl,Venice,Italy,LPG,0.845
ST07764,Orlen Florence,Orlen,171 Bridge Pl,Florence,Italy,Diesel,1.659
ST01277,Total Cesis,Total,41 Brookside Blvd,Cesis,Latvia,Gasoline 98,1.729
ST06513,BP Grenoble,BP,190 Greenfield Pl,Grenoble,France,Gasoline 95,1.738
ST10959,BP Almada,BP,196 River Blvd,Almada,Portugal,Gasoline 95,1.791
ST03334,BP Tampere,BP,23 Arlington Way,Tampere,Finland,Gasoline 95,1.816
ST05504,Rimi Prague,Rimi,68 Mill Pl,Prague,Czech Republic,Gasoline 95,1.569
ST06413,Agip Le Havre,Agip,48 Park St,Le Havre,France,Diesel,1.632
ST00426,Viada Telsiai,Viada,41 View Blvd,Telsiai,Lithuania,Gasoline 95,1.688
ST00097,BP Klaipeda,BP,33 Riverside Ave,Klaipeda,Lithuania,Gasoline 98,1.813
ST07795,Statoil Florence,Statoil,139 River Way,Florence,Italy,LPG,0.762
ST09314,Lukoil Brasov,Lukoil,136 Pine Ave,Brasov,Romania,Diesel,1.53
ST07353,Agip Vitoria,Agip,84 Arlington St,Vitoria,Spain,Gasoline 95,1.678
ST01047,Jet Ventspils,Jet,47 Oak Dr,Ventspils,Latvia,Gasoline 95,1.728
ST07567,Astarta Naples,Astarta,193 Lakeview Pl,Naples,Italy,Gasoline 95,1.756
ST06306,Orlen Rennes,Orlen,139 Garden St,Rennes,France,Diesel,1.696
ST02173,Shell Czestochowa,Shell,11 Bridge Dr,Czestochowa,Poland,Diesel,1.481
ST04406,Shell Amsterdam,Shell,184 Garden St,Amsterdam,Netherlands,Diesel,1.629
ST09108,Statoil Bucharest,Statoil,65 Woodland Rd,Bucharest,Romania,LPG,0.616
ST00853,Shell Daugavpils,Shell,94 Forest Ave,Daugavpils,Latvia,Gasoline 98,1.867
ST09487,Esso Copenhagen,Esso,157 Station Ave,Copenhagen,Denmark,LPG,0.753
ST01286,Aral Cesis,Aral,193 Valley Rd,Cesis,Latvia,Gasoline 98,1.859
ST00504,Agip Taurage,Agip,127 Park Ave,Taurage,Lithuania,Gasoline 95,1.71
ST01368,Agip Tartu,Agip,161 Clifton Rd,Tartu,Estonia,LPG,0.669
ST02032,Jet Lublin,Jet,123 Cedar Ln,Lublin,Poland,LPG,0.62
ST01648,Aral Sillamae,Aral,4 Market Ln,Sillamae,Estonia,LPG,0.808
ST09108,Statoil Bucharest,Statoil,65 Woodland Rd,Bucharest,Romania,Gasoline 98,1.744
ST10688,Shell Lisbon,Shell,41 Forest St,Lisbon,Portugal,Gasoline 98,1.901
ST10239,Aral Tromsoe,Aral,52 Elm Ln,Tromsoe,Norway,Gasoline 95,1.84
ST04180,Jet Norrkoping,Jet,70 Clifton St,Norrkoping,Sweden,Diesel,1.79
ST09137,Tamoil Cluj-Napoca,Tamoil,37 South Rd,Cluj-Napoca,Romania,Gasoline 95,1.538
ST01474,Teboil Kohtla-Jarve,Teboil,36 Sunset Ln,Kohtla-Jarve,Estonia,LPG,0.697
ST04379,Total Sodertaije,Total,72 Elm Pl,Sodertaije,Sweden,Gasoline 98,2.014
ST08969,Rimi Szekesfehervar,Rimi,90 Valley Ave,Szekesfehervar,Hungary,Gasoline 98,1.803
ST10891,St1 Coimbra,St1,118 Oak Dr,Coimbra,Portugal,Diesel,1.646
ST09571,St1 Odense,St1,131 Grove Ave,Odense,Denmark,Gasoline 98,2.003
ST01441,Aral Parnu,Aral,145 South St,Parnu,Estonia,Gasoline 95,1.739
ST00198,Viada Alytus,Viada,50 Garden Pl,Alytus,Lithuania,Gasoline 95,1.653
ST07531,Shell Milan,Shell,23 North Way,Milan,Italy,Gasoline 95,1.819
ST07083,Statoil Bilbao,Statoil,16 Woodland Ave,Bilbao,Spain,LPG,0.815
ST02425,Tamoil Gliwice,Tamoil,119 Lakeview Ln,Gliwice,Poland,Gasoline 95,1.696
ST01815,Orlen Wroclaw,Orlen,75 Grove Way,Wroclaw,Poland,Gasoline 95,1.599
ST00675,Agip Palanga,Agip,148 Station Pl,Palanga,Lithuania,Gasoline 98,1.787
ST03475,Neste Jyvaskyla,Neste,90 Woodland Pl,Jyvaskyla,Finland,Gasoline 98,1.906
ST03186,Astarta Bielefeld,Astarta,151 Brookside Pl,Bielefeld,Germany,Gasoline 98,2.004
ST04396,Viada Amsterdam,Viada,142 Meadow Ave,Amsterdam,Netherlands,Diesel,1.619
ST06063,St1 Nice,St1,141 Spring St,Nice,France,LPG,0.789
ST06839,Aral Seville,Aral,26 View Blvd,Seville,Spain,Gasoline 98,1.966
ST07562,Lukoil Naples,Lukoil,200 Riverside Dr,Naples,Italy,Gasoline 95,1.755
ST09612,Esso Aalborg,Esso,125 Meadow Rd,Aalborg,Denmark,LPG,0.744
ST07708,Aral Genoa,Aral,137 Lakeview Way,Genoa,Italy,Gasoline 98,1.908
ST06317,Esso Rennes,Esso,179 Highland Dr,Rennes,France,Diesel,1.636
ST06251,Circle K Lille,Circle K,142 East Ln,Lille,France,Diesel,1.755
ST04739,Rimi Breda,Rimi,29 View St,Breda,Netherlands,Gasoline 95,1.793
ST04149,Neste Norrkoping,Neste,14 South Dr,Norrkoping,Sweden,Gasoline 98,1.947
ST06915,St1 Malaga,St1,28 Meadow Rd,Malaga,Spain,LPG,0.75
ST02727,Jet Dusseldorf,Jet,196 River Ln,Dusseldorf,Germany,Diesel,1.685
ST05508,Teboil Prague,Teboil,66 Windsor Pl,Prague,Czech Republic,Gasoline 98,1.716
ST00430,Lukoil Telsiai,Lukoil,6 Greenfield Pl,Telsiai,Lithuania,Gasoline 95,1.57
ST10397,Circle K Bern,Circle K,22 Valley Ave,Bern,Switzerland,Diesel,1.733
ST06934,Lukoil Murcia,Lukoil,34 Main Blvd,Murcia,Spain,Gasoline 98,1.894
ST08286,Rimi Vienna,Rimi,149 Grove Ave,Vienna,Austria,Gasoline 95,1.863
ST06648,Statoil Nimes,Statoil,12 North Dr,Nimes,France,Diesel,1.698
ST09210,Q8 Iasi,Q8,36 Arlington St,Iasi,Romania,Diesel,1.549
ST03810,St1 Stockholm,St1,81 West Ave,Stockholm,Sweden,Diesel,1.662
ST02542,Agip Hamburg,Agip,29 Cedar Way,Hamburg,Germany,Gasoline 95,1.877
ST00575,Rimi Plunge,Rimi,189 Woodland Ln,Plunge,Lithuania,LPG,0.688
ST06824,Shell Seville,Shell,4 Highland Ave,Seville,Spain,Diesel,1.718
ST07150,Rimi Cordoba,Rimi,117 Fairview Ave,Cordoba,Spain,Diesel,1.666
ST08978,Total Szekesfehervar,Total,109 Hill Blvd,Szekesfehervar,Hungary,Diesel,1.518
ST00961,Tamoil Jelgava,Tamoil,69 South Pl,Jelgava,Latvia,Diesel,1.553
ST01274,Teboil Cesis,Teboil,135 Hillside St,Cesis,Latvia,Gasoline 95,1.617
ST08188,Aral Taranto,Aral,196 Central Blvd,Taranto,Italy,Gasoline 95,1.827
ST08224,Aral Prato,Aral,149 Windsor St,Prato,Italy,Gasoline 95,1.793
ST01182,BP Ogre,BP,2 Clifton St,Ogre,Latvia,Diesel,1.517
