station_id,station_name,chain,address,city,region,country,fuel_type,price_eur_l,last_updated
LT0072,Viada Palanga,Viada,Tilžės pr. 17,Palanga,Klaipėdos apskritis,Lithuania,Benzinas 98,1.809,2024-06-15 12:38
LT0144,Lukoil Klaipėda,Lukoil,Vilniaus g. 136,Klaipėda,Klaipėdos apskritis,Lithuania,Benzinas 95,1.7,2024-10-01 09:01
LT0311,Lietuva Radviliškis,Lietuva,Gedimino pr. 47,Radviliškis,Šiaulių apskritis,Lithuania,LPG,0.792,2024-07-30 20:27
LT0243,Astarta Telšiai,Astarta,Konstitucijos pr. 71,Telšiai,Telšių apskritis,Lithuania,Benzinas 95,1.642,2024-06-24 09:28
LT0132,Neste Radviliškis,Neste,Respublikos g. 139,Radviliškis,Šiaulių apskritis,Lithuania,Benzinas 98,1.889,2024-07-20 16:08
LT0295,Lietuva Ukmergė,Lietuva,Konstitucijos al. 40,Ukmergė,Vilniaus apskritis,Lithuania,Benzinas 95,1.625,2024-01-01 16:52
LT0087,Viada Lazdijai,Viada,Vytauto pl. 34,Lazdijai,Alytaus apskritis,Lithuania,Benzinas 95,1.677,2024-02-13 09:35
LT0043,Circle K Šakiai,Circle K,Savanorių pl. 71,Šakiai,Marijampolės apskritis,Lithuania,Benzinas 95,1.7,2024-09-25 19:18
LT0101,Neste Panevėžys,Neste,Algirdo pr. 8,Panevėžys,Panevėžio apskritis,Lithuania,Benzinas 95,1.596,2024-11-07 21:50
LT0163,Lukoil Tauragė,Lukoil,Savanorių pl. 30,Tauragė,Tauragės apskritis,Lithuania,Benzinas 98,1.766,2024-07-17 19:25
LT0076,Viada Rokiškis,Viada,Geležinio Vilko g. 69,Rokiškis,Panevėžio apskritis,Lithuania,LPG,0.712,2024-03-13 23:40
LT0217,Orlen Skuodas,Orlen,Respublikos g. 42,Skuodas,Klaipėdos apskritis,Lithuania,Benzinas 95,1.724,2024-04-19 07:41
LT0204,Orlen Tauragė,Orlen,Vytauto g. 82,Tauragė,Tauragės apskritis,Lithuania,Dyzelinas,1.514,2024-02-17 10:38
LT0091,Viada Zarasai,Viada,Architektų pr. 65,Zarasai,Utenos apskritis,Lithuania,Benzinas 98,1.878,2024-12-30 16:54
LT0099,Neste Šiauliai,Neste,Studentų pl. 128,Šiauliai,Šiaulių apskritis,Lithuania,Dyzelinas,1.608,2024-04-02 17:18
LT0078,Viada Jurbarkas,Viada,Ukmergės pl. 125,Jurbarkas,Tauragės apskritis,Lithuania,Benzinas 95,1.679,2024-07-31 08:13
LT0113,Neste Telšiai,Neste,Vytauto g. 28,Telšiai,Telšių apskritis,Lithuania,Dyzelinas,1.509,2024-10-14 06:23
LT0057,Viada Marijampolė,Viada,Tilžės g. 113,Marijampolė,Marijampolės apskritis,Lithuania,Benzinas 95,1.588,2024-08-21 00:46
LT0163,Lukoil Tauragė,Lukoil,Savanorių pl. 30,Tauragė,Tauragės apskritis,Lithuania,LPG,0.722,2024-03-29 21:45
LT0275,Lietuva Vilnius,Lietuva,Pramonės pl. 42,Vilnius,Vilniaus apskritis,Lithuania,LPG,0.814,2024-01-03 02:52
LT0064,Viada Telšiai,Viada,Vytauto al. 30,Telšiai,Telšių apskritis,Lithuania,Benzinas 95,1.654,2024-02-08 04:48
LT0023,Circle K Kretinga,Circle K,Saltoniškių pr. 52,Kretinga,Klaipėdos apskritis,Lithuania,Dyzelinas,1.619,2024-07-23 10:17
LT0244,Astarta Telšiai,Astarta,Geležinio Vilko pr. 52,Telšiai,Telšių apskritis,Lithuania,Benzinas 95,1.608,2024-05-28 21:22
LT0318,Lietuva Zarasai,Lietuva,Saltoniškių pr. 125,Zarasai,Utenos apskritis,Lithuania,Dyzelinas,1.513,2024-08-08 10:43
LT0190,Orlen Klaipėda,Orlen,Klaipėdos g. 43,Klaipėda,Klaipėdos apskritis,Lithuania,LPG,0.785,2024-06-04 22:44
LT0092,Neste Vilnius,Neste,Laisvės pr. 116,Vilnius,Vilniaus apskritis,Lithuania,Benzinas 98,1.781,2024-07-10 07:24
LT0189,Orlen Kaunas,Orlen,Respublikos g. 146,Kaunas,Kauno apskritis,Lithuania,Benzinas 95,1.581,2024-12-05 04:15
LT0264,Astarta Šilutė,Astarta,Klaipėdos pl. 92,Šilutė,Klaipėdos apskritis,Lithuania,Benzinas 98,1.758,2024-04-29 01:42
LT0123,Neste Druskininkai,Neste,Vytauto al. 74,Druskininkai,Alytaus apskritis,Lithuania,Benzinas 95,1.686,2024-02-15 20:36
LT0237,Astarta Marijampolė,Astarta,Saltoniškių pl. 43,Marijampolė,Marijampolės apskritis,Lithuania,Benzinas 98,1.77,2024-05-22 01:32
LT0222,Orlen Kupiškis,Orlen,Algirdo al. 144,Kupiškis,Panevėžio apskritis,Lithuania,Benzinas 95,1.707,2024-04-03 21:57
LT0027,Circle K Druskininkai,Circle K,Vytauto pl. 141,Druskininkai,Alytaus apskritis,Lithuania,Dyzelinas,1.558,2024-08-14 14:43
LT0220,Orlen Radviliškis,Orlen,Savanorių pr. 133,Radviliškis,Šiaulių apskritis,Lithuania,LPG,0.803,2024-07-26 12:47
LT0280,Lietuva Panevėžys,Lietuva,Respublikos pl. 63,Panevėžys,Panevėžio apskritis,Lithuania,Dyzelinas,1.546,2024-07-14 20:50
LT0242,Astarta Kėdainiai,Astarta,Saltoniškių g. 136,Kėdainiai,Kauno apskritis,Lithuania,Dyzelinas,1.604,2024-03-06 03:24
LT0152,Lukoil Jonava,Lukoil,Respublikos g. 75,Jonava,Kauno apskritis,Lithuania,LPG,0.688,2024-05-17 15:09
LT0276,Lietuva Kaunas,Lietuva,Saltoniškių pl. 23,Kaunas,Kauno apskritis,Lithuania,Dyzelinas,1.618,2024-05-26 22:38
LT0252,Astarta Kretinga,Astarta,Didlaukio al. 98,Kretinga,Klaipėdos apskritis,Lithuania,LPG,0.732,2024-09-06 01:18
LT0089,Viada Šakiai,Viada,Architektų pr. 97,Šakiai,Marijampolės apskritis,Lithuania,Dyzelinas,1.508,2024-07-05 21:46
LT0298,Lietuva Kretinga,Lietuva,Architektų pl. 70,Kretinga,Klaipėdos apskritis,Lithuania,Benzinas 98,1.713,2024-01-26 17:01
LT0262,Astarta Jurbarkas,Astarta,Vilniaus pl. 55,Jurbarkas,Tauragės apskritis,Lithuania,Benzinas 95,1.733,2024-10-09 08:34
LT0084,Viada Kupiškis,Viada,Vytauto g. 24,Kupiškis,Panevėžio apskritis,Lithuania,Dyzelinas,1.646,2024-11-29 06:20
LT0100,Neste Panevėžys,Neste,Vytauto pl. 110,Panevėžys,Panevėžio apskritis,Lithuania,Benzinas 98,1.718,2024-06-29 19:27
LT0113,Neste Telšiai,Neste,Vytauto g. 28,Telšiai,Telšių apskritis,Lithuania,Benzinas 95,1.648,2024-05-15 23:23
LT0025,Circle K Palanga,Circle K,Respublikos pr. 66,Palanga,Klaipėdos apskritis,Lithuania,Benzinas 95,1.578,2024-08-11 00:33
LT0118,Neste Ukmergė,Neste,Klaipėdos pl. 53,Ukmergė,Vilniaus apskritis,Lithuania,Benzinas 95,1.644,2024-11-09 15:55
LT0283,Lietuva Marijampolė,Lietuva,Gedimino g. 127,Marijampolė,Marijampolės apskritis,Lithuania,LPG,0.673,2024-09-18 08:25
LT0172,Lukoil Biržai,Lukoil,Geležinio Vilko pl. 56,Biržai,Panevėžio apskritis,Lithuania,Dyzelinas,1.604,2024-10-16 15:50
LT0275,Lietuva Vilnius,Lietuva,Pramonės pl. 42,Vilnius,Vilniaus apskritis,Lithuania,Benzinas 98,1.771,2024-10-08 19:44
LT0112,Neste Kėdainiai,Neste,Studentų pl. 132,Kėdainiai,Kauno apskritis,Lithuania,Benzinas 95,1.654,2024-06-06 15:01
LT0130,Neste Jurbarkas,Neste,Ozo pl. 15,Jurbarkas,Tauragės apskritis,Lithuania,LPG,0.787,2024-04-21 18:04
LT0244,Astarta Telšiai,Astarta,Geležinio Vilko pr. 52,Telšiai,Telšių apskritis,Lithuania,Benzinas 98,1.876,2024-03-08 22:41
LT0232,Astarta Šiauliai,Astarta,Žemaitės pr. 117,Šiauliai,Šiaulių apskritis,Lithuania,LPG,0.773,2024-02-18 01:00
LT0290,Lietuva Telšiai,Lietuva,Ukmergės pr. 43,Telšiai,Telšių apskritis,Lithuania,Benzinas 95,1.685,2024-06-21 13:40
LT0208,Orlen Kretinga,Orlen,Žemaitės g. 39,Kretinga,Klaipėdos apskritis,Lithuania,LPG,0.71,2024-09-24 13:34
LT0229,Astarta Vilnius,Astarta,Konstitucijos pl. 98,Vilnius,Vilniaus apskritis,Lithuania,Benzinas 98,1.738,2024-12-21 21:40
LT0254,Astarta Druskininkai,Astarta,Ateities g. 40,Druskininkai,Alytaus apskritis,Lithuania,Dyzelinas,1.513,2024-04-26 08:26
LT0200,Orlen Utena,Orlen,Dariaus ir Girėno pl. 26,Utena,Utenos apskritis,Lithuania,LPG,0.765,2024-11-10 11:14
LT0074,Viada Biržai,Viada,Laisvės pl. 25,Biržai,Panevėžio apskritis,Lithuania,Benzinas 95,1.704,2024-07-09 04:35
LT0158,Lukoil Telšiai,Lukoil,Studentų g. 145,Telšiai,Telšių apskritis,Lithuania,Benzinas 95,1.747,2024-12-12 20:25
LT0173,Lukoil Rokiškis,Lukoil,Ateities pl. 5,Rokiškis,Panevėžio apskritis,Lithuania,Benzinas 98,1.71,2024-08-07 06:44
LT0238,Astarta Mažeikiai,Astarta,Laisvės pl. 115,Mažeikiai,Telšių apskritis,Lithuania,Dyzelinas,1.6,2024-01-01 02:50
LT0282,Lietuva Alytus,Lietuva,Panerių al. 47,Alytus,Alytaus apskritis,Lithuania,Benzinas 95,1.74,2024-12-15 06:31
LT0183,Lukoil Lazdijai,Lukoil,Vilniaus al. 110,Lazdijai,Alytaus apskritis,Lithuania,Dyzelinas,1.582,2024-07-03 01:31
LT0126,Neste Rokiškis,Neste,Respublikos g. 48,Rokiškis,Panevėžio apskritis,Lithuania,Benzinas 95,1.747,2024-09-01 10:59
LT0301,Lietuva Palanga,Lietuva,Savanorių pl. 100,Palanga,Klaipėdos apskritis,Lithuania,Dyzelinas,1.599,2024-03-03 08:30
LT0288,Lietuva Kėdainiai,Lietuva,Naugarduko pr. 16,Kėdainiai,Kauno apskritis,Lithuania,Benzinas 98,1.823,2024-08-18 23:21
LT0247,Astarta Tauragė,Astarta,Algirdo pl. 61,Tauragė,Tauragės apskritis,Lithuania,Dyzelinas,1.672,2024-12-16 10:35
LT0026,Circle K Druskininkai,Circle K,Didlaukio g. 77,Druskininkai,Alytaus apskritis,Lithuania,Benzinas 98,1.782,2024-05-31 17:08
LT0165,Lukoil Ukmergė,Lukoil,Geležinio Vilko pr. 143,Ukmergė,Vilniaus apskritis,Lithuania,Dyzelinas,1.656,2024-01-05 15:08
LT0260,Astarta Skuodas,Astarta,Dariaus ir Girėno al. 110,Skuodas,Klaipėdos apskritis,Lithuania,Dyzelinas,1.651,2024-03-09 21:46
LT0048,Viada Kaunas,Viada,Ateities pr. 69,Kaunas,Kauno apskritis,Lithuania,Dyzelinas,1.602,2024-05-27 14:07
LT0183,Lukoil Lazdijai,Lukoil,Vilniaus al. 110,Lazdijai,Alytaus apskritis,Lithuania,LPG,0.795,2024-03-26 11:10
LT0045,Circle K Zarasai,Circle K,Panerių g. 39,Zarasai,Utenos apskritis,Lithuania,Dyzelinas,1.575,2024-11-01 19:14
LT0062,Viada Utena,Viada,Vilniaus g. 128,Utena,Utenos apskritis,Lithuania,Benzinas 98,1.854,2024-04-22 20:12
LT0294,Lietuva Ukmergė,Lietuva,Klaipėdos pr. 117,Ukmergė,Vilniaus apskritis,Lithuania,LPG,0.785,2024-08-14 09:23
LT0146,Lukoil Šiauliai,Lukoil,Laisvės pl. 98,Šiauliai,Šiaulių apskritis,Lithuania,LPG,0.816,2024-02-18 16:58
LT0216,Orlen Skuodas,Orlen,Ateities g. 8,Skuodas,Klaipėdos apskritis,Lithuania,Benzinas 98,1.742,2024-08-30 18:35
LT0184,Lukoil Šakiai,Lukoil,Gedimino g. 59,Šakiai,Marijampolės apskritis,Lithuania,Benzinas 95,1.703,2024-01-02 01:54
LT0223,Orlen Varėna,Orlen,Ukmergės g. 121,Varėna,Alytaus apskritis,Lithuania,LPG,0.735,2024-07-30 01:55
LT0312,Lietuva Radviliškis,Lietuva,Algirdo al. 62,Radviliškis,Šiaulių apskritis,Lithuania,Benzinas 98,1.809,2024-05-10 11:28
LT0134,Neste Kupiškis,Neste,Laisvės g. 9,Kupiškis,Panevėžio apskritis,Lithuania,LPG,0.731,2024-05-28 07:52
LT0304,Lietuva Rokiškis,Lietuva,Geležinio Vilko al. 113,Rokiškis,Panevėžio apskritis,Lithuania,LPG,0.693,2024-12-22 15:12
LT0318,Lietuva Zarasai,Lietuva,Saltoniškių pr. 125,Zarasai,Utenos apskritis,Lithuania,Benzinas 95,1.641,2024-10-19 06:35
LT0120,Neste Plungė,Neste,Naugarduko pl. 82,Plungė,Telšių apskritis,Lithuania,Benzinas 98,1.762,2024-10-20 21:34
LT0269,Astarta Lazdijai,Astarta,Studentų pr. 106,Lazdijai,Alytaus apskritis,Lithuania,Dyzelinas,1.623,2024-08-20 19:37
LT0053,Viada Panevėžys,Viada,Architektų pr. 41,Panevėžys,Panevėžio apskritis,Lithuania,Benzinas 98,1.727,2024-02-28 14:07
LT0019,Circle K Tauragė,Circle K,Žemaitės g. 28,Tauragė,Tauragės apskritis,Lithuania,LPG,0.685,2024-01-27 02:40
LT0185,Lukoil Šakiai,Lukoil,Naugarduko pl. 58,Šakiai,Marijampolės apskritis,Lithuania,Benzinas 95,1.628,2024-08-01 23:20
LT0126,Neste Rokiškis,Neste,Respublikos g. 48,Rokiškis,Panevėžio apskritis,Lithuania,Dyzelinas,1.58,2024-05-16 10:19
LT0297,Lietuva Plungė,Lietuva,Ateities pr. 133,Plungė,Telšių apskritis,Lithuania,Benzinas 95,1.708,2024-11-09 22:43
LT0179,Lukoil Šilutė,Lukoil,Laisvės g. 93,Šilutė,Klaipėdos apskritis,Lithuania,Dyzelinas,1.623,2024-08-29 02:01
LT0289,Lietuva Telšiai,Lietuva,Gedimino al. 51,Telšiai,Telšių apskritis,Lithuania,Benzinas 98,1.741,2024-05-25 11:20
LT0133,Neste Radviliškis,Neste,Algirdo pl. 137,Radviliškis,Šiaulių apskritis,Lithuania,Dyzelinas,1.658,2024-02-27 01:51
LT0160,Lukoil Visaginas,Lukoil,Vytauto al. 117,Visaginas,Utenos apskritis,Lithuania,Benzinas 95,1.711,2024-09-23 15:22
LT0006,Circle K Šiauliai,Circle K,Savanorių al. 55,Šiauliai,Šiaulių apskritis,Lithuania,Dyzelinas,1.601,2024-05-14 23:37
LT0213,Orlen Biržai,Orlen,Respublikos al. 61,Biržai,Panevėžio apskritis,Lithuania,Benzinas 98,1.777,2024-06-21 09:19
LT0167,Lukoil Plungė,Lukoil,Saltoniškių g. 147,Plungė,Telšių apskritis,Lithuania,Dyzelinas,1.598,2024-08-05 03:47
LT0151,Lukoil Mažeikiai,Lukoil,Vytauto pl. 93,Mažeikiai,Telšių apskritis,Lithuania,Benzinas 98,1.744,2024-08-17 17:35
LT0122,Neste Palanga,Neste,Ateities pr. 14,Palanga,Klaipėdos apskritis,Lithuania,Benzinas 95,1.588,2024-06-18 22:30
LT0044,Circle K Zarasai,Circle K,Naugarduko pr. 126,Zarasai,Utenos apskritis,Lithuania,Benzinas 98,1.794,2024-08-13 10:11
LT0193,Orlen Alytus,Orlen,Laisvės g. 17,Alytus,Alytaus apskritis,Lithuania,Benzinas 98,1.733,2024-06-18 03:02
LT0261,Astarta Jurbarkas,Astarta,Vytauto pl. 142,Jurbarkas,Tauragės apskritis,Lithuania,LPG,0.654,2024-01-10 16:40
LT0284,Lietuva Mažeikiai,Lietuva,Panerių pr. 14,Mažeikiai,Telšių apskritis,Lithuania,Benzinas 98,1.716,2024-06-26 12:55
LT0001,Circle K Vilnius,Circle K,Vilniaus al. 63,Vilnius,Vilniaus apskritis,Lithuania,Dyzelinas,1.506,2024-02-17 06:14
LT0256,Astarta Biržai,Astarta,Vytauto pl. 98,Biržai,Panevėžio apskritis,Lithuania,Benzinas 95,1.641,2024-12-04 00:30
LT0225,Orlen Lazdijai,Orlen,Panerių pr. 126,Lazdijai,Alytaus apskritis,Lithuania,Benzinas 98,1.788,2024-08-07 12:27
LT0301,Lietuva Palanga,Lietuva,Savanorių pl. 100,Palanga,Klaipėdos apskritis,Lithuania,Benzinas 95,1.693,2024-06-08 10:10
LT0203,Orlen Visaginas,Orlen,Respublikos pl. 108,Visaginas,Utenos apskritis,Lithuania,Benzinas 95,1.744,2024-07-30 15:56
LT0267,Astarta Kupiškis,Astarta,Didlaukio pr. 107,Kupiškis,Panevėžio apskritis,Lithuania,LPG,0.648,2024-10-20 18:10
LT0250,Astarta Plungė,Astarta,Panerių al. 19,Plungė,Telšių apskritis,Lithuania,Benzinas 98,1.882,2024-09-23 02:50
LT0088,Viada Lazdijai,Viada,Vilniaus al. 80,Lazdijai,Alytaus apskritis,Lithuania,LPG,0.737,2024-09-26 01:42
LT0040,Circle K Lazdijai,Circle K,Tilžės g. 127,Lazdijai,Alytaus apskritis,Lithuania,Dyzelinas,1.658,2024-12-25 08:35
LT0066,Viada Visaginas,Viada,Ateities g. 119,Visaginas,Utenos apskritis,Lithuania,Benzinas 98,1.731,2024-01-24 01:19
LT0243,Astarta Telšiai,Astarta,Konstitucijos pr. 71,Telšiai,Telšių apskritis,Lithuania,Benzinas 98,1.855,2024-03-11 13:38
LT0109,Neste Jonava,Neste,Panerių al. 54,Jonava,Kauno apskritis,Lithuania,Dyzelinas,1.616,2024-06-03 15:15
LT0309,Lietuva Jurbarkas,Lietuva,Ateities g. 93,Jurbarkas,Tauragės apskritis,Lithuania,Dyzelinas,1.507,2024-02-06 09:04
LT0214,Orlen Rokiškis,Orlen,Tilžės al. 107,Rokiškis,Panevėžio apskritis,Lithuania,LPG,0.782,2024-02-03 09:45
LT0069,Viada Ukmergė,Viada,Laisvės pr. 56,Ukmergė,Vilniaus apskritis,Lithuania,LPG,0.685,2024-03-30 03:42
LT0015,Circle K Telšiai,Circle K,Klaipėdos pr. 76,Telšiai,Telšių apskritis,Lithuania,Dyzelinas,1.605,2024-09-14 16:10
LT0127,Neste Skuodas,Neste,Naugarduko pr. 16,Skuodas,Klaipėdos apskritis,Lithuania,LPG,0.809,2024-07-07 19:14
LT0102,Neste Alytus,Neste,Dariaus ir Girėno al. 114,Alytus,Alytaus apskritis,Lithuania,Benzinas 95,1.707,2024-10-20 04:33
LT0021,Circle K Ukmergė,Circle K,Kauno al. 150,Ukmergė,Vilniaus apskritis,Lithuania,LPG,0.78,2024-07-27 19:47
LT0101,Neste Panevėžys,Neste,Algirdo pr. 8,Panevėžys,Panevėžio apskritis,Lithuania,Dyzelinas,1.64,2024-07-06 11:24
LT0096,Neste Klaipėda,Neste,Saltoniškių g. 100,Klaipėda,Klaipėdos apskritis,Lithuania,Dyzelinas,1.632,2024-11-17 03:49
LT0152,Lukoil Jonava,Lukoil,Respublikos g. 75,Jonava,Kauno apskritis,Lithuania,Benzinas 95,1.644,2024-02-13 23:57
LT0184,Lukoil Šakiai,Lukoil,Gedimino g. 59,Šakiai,Marijampolės apskritis,Lithuania,Benzinas 98,1.865,2024-05-05 01:30
LT0106,Neste Mažeikiai,Neste,Panerių g. 33,Mažeikiai,Telšių apskritis,Lithuania,Benzinas 98,1.794,2024-09-21 11:08
LT0318,Lietuva Zarasai,Lietuva,Saltoniškių pr. 125,Zarasai,Utenos apskritis,Lithuania,Benzinas 98,1.821,2024-09-25 07:15
LT0254,Astarta Druskininkai,Astarta,Ateities g. 40,Druskininkai,Alytaus apskritis,Lithuania,Benzinas 98,1.723,2024-04-01 08:35
LT0097,Neste Klaipėda,Neste,Dariaus ir Girėno al. 45,Klaipėda,Klaipėdos apskritis,Lithuania,Dyzelinas,1.629,2024-08-22 01:18
LT0129,Neste Jurbarkas,Neste,Laisvės g. 16,Jurbarkas,Tauragės apskritis,Lithuania,Benzinas 98,1.807,2024-03-25 10:54
LT0051,Viada Šiauliai,Viada,Tilžės pl. 127,Šiauliai,Šiaulių apskritis,Lithuania,Benzinas 98,1.792,2024-06-10 08:20
LT0179,Lukoil Šilutė,Lukoil,Laisvės g. 93,Šilutė,Klaipėdos apskritis,Lithuania,LPG,0.746,2024-01-08 08:13
LT0097,Neste Klaipėda,Neste,Dariaus ir Girėno al. 45,Klaipėda,Klaipėdos apskritis,Lithuania,LPG,0.676,2024-04-12 01:20
LT0087,Viada Lazdijai,Viada,Vytauto pl. 34,Lazdijai,Alytaus apskritis,Lithuania,Benzinas 98,1.778,2024-06-17 04:42
LT0106,Neste Mažeikiai,Neste,Panerių g. 33,Mažeikiai,Telšių apskritis,Lithuania,Dyzelinas,1.658,2024-10-09 20:37
LT0248,Astarta Ukmergė,Astarta,Pramonės al. 140,Ukmergė,Vilniaus apskritis,Lithuania,Benzinas 95,1.703,2024-04-10 23:12
LT0123,Neste Druskininkai,Neste,Vytauto al. 74,Druskininkai,Alytaus apskritis,Lithuania,Benzinas 98,1.752,2024-01-20 05:26
LT0109,Neste Jonava,Neste,Panerių al. 54,Jonava,Kauno apskritis,Lithuania,Benzinas 95,1.708,2024-08-01 19:40
LT0241,Astarta Utena,Astarta,Savanorių g. 101,Utena,Utenos apskritis,Lithuania,Benzinas 98,1.729,2024-07-31 01:59
LT0138,Neste Šakiai,Neste,Kauno al. 97,Šakiai,Marijampolės apskritis,Lithuania,LPG,0.803,2024-06-04 00:13
LT0293,Lietuva Tauragė,Lietuva,Pramonės al. 114,Tauragė,Tauragės apskritis,Lithuania,Benzinas 95,1.683,2024-03-08 16:53
LT0009,Circle K Marijampolė,Circle K,Dariaus ir Girėno pr. 139,Marijampolė,Marijampolės apskritis,Lithuania,LPG,0.683,2024-10-17 02:05
LT0165,Lukoil Ukmergė,Lukoil,Geležinio Vilko pr. 143,Ukmergė,Vilniaus apskritis,Lithuania,LPG,0.675,2024-07-15 17:32
LT0063,Viada Kėdainiai,Viada,Vytauto pl. 9,Kėdainiai,Kauno apskritis,Lithuania,LPG,0.73,2024-05-19 05:16
LT0206,Orlen Ukmergė,Orlen,Respublikos pl. 40,Ukmergė,Vilniaus apskritis,Lithuania,Benzinas 95,1.58,2024-01-02 13:05
LT0266,Astarta Radviliškis,Astarta,Dariaus ir Girėno al. 125,Radviliškis,Šiaulių apskritis,Lithuania,LPG,0.667,2024-03-21 11:38
LT0081,Viada Radviliškis,Viada,Studentų pl. 93,Radviliškis,Šiaulių apskritis,Lithuania,Benzinas 95,1.586,2024-02-24 07:27
LT0196,Orlen Mažeikiai,Orlen,Respublikos al. 47,Mažeikiai,Telšių apskritis,Lithuania,Benzinas 98,1.871,2024-05-23 01:51
LT0049,Viada Klaipėda,Viada,Ozo pl. 113,Klaipėda,Klaipėdos apskritis,Lithuania,Benzinas 98,1.768,2024-05-08 00:05
LT0020,Circle K Ukmergė,Circle K,Žemaitės g. 1,Ukmergė,Vilniaus apskritis,Lithuania,Benzinas 95,1.63,2024-03-07 20:16
LT0013,Circle K Utena,Circle K,Kauno pl. 87,Utena,Utenos apskritis,Lithuania,Benzinas 95,1.714,2024-02-25 07:12
LT0203,Orlen Visaginas,Orlen,Respublikos pl. 108,Visaginas,Utenos apskritis,Lithuania,LPG,0.764,2024-03-24 14:04
LT0003,Circle K Kaunas,Circle K,Žemaitės g. 118,Kaunas,Kauno apskritis,Lithuania,Dyzelinas,1.655,2024-10-22 06:45
LT0155,Lukoil Utena,Lukoil,Ateities pl. 148,Utena,Utenos apskritis,Lithuania,Benzinas 95,1.711,2024-06-15 12:17
LT0107,Neste Mažeikiai,Neste,Kauno g. 133,Mažeikiai,Telšių apskritis,Lithuania,Benzinas 98,1.878,2024-04-25 11:33
LT0240,Astarta Jonava,Astarta,Vilniaus al. 91,Jonava,Kauno apskritis,Lithuania,LPG,0.77,2024-02-24 08:39
LT0252,Astarta Kretinga,Astarta,Didlaukio al. 98,Kretinga,Klaipėdos apskritis,Lithuania,Benzinas 95,1.735,2024-02-28 12:16
LT0170,Lukoil Druskininkai,Lukoil,Kauno al. 33,Druskininkai,Alytaus apskritis,Lithuania,Benzinas 98,1.838,2024-05-06 21:25
